"x","year","month","yearmon","region","homicide","homicide_us","offences_against_the_person","offences_against_the_person_us","sexual_offences","sexual_offences_us","burglary","burglary_us","robbery","robbery_us","theft_and_handling","theft_and_handling_us","fraud_and_forgery","fraud_and_forgery_us","criminal_damage","criminal_damage_us","drugs_offences","drugs_offences_us","public_order_offences","public_order_offences_us","all_other_offences__excluding_motoring_","all_other_offences__excluding_motoring__us","motoring_offences","motoring_offences_us","admin_finalised_us"
"Metropolitan and City","2014","oct","2014-10-01","South",12,1,1256,642,131,81,243,63,136,50,1307,182,214,31,322,50,1077,90,671,140,527,129,1353,357,210
"Norfolk","2014","oct","2014-10-01","East",2,0,193,30,12,1,18,4,2,4,146,12,5,1,48,3,86,8,116,8,7,4,105,10,9
"Northamptonshire","2014","oct","2014-10-01","East",0,0,110,26,6,1,11,3,1,2,119,15,8,3,23,7,34,2,43,9,10,2,114,16,16
"Northumbria","2014","oct","2014-10-01","North",1,0,296,161,22,13,53,9,15,1,517,56,25,6,88,41,125,11,175,68,76,20,253,58,10
"North Wales","2014","oct","2014-10-01","North",0,0,111,28,10,8,25,2,3,1,208,11,8,0,42,9,56,2,47,4,149,10,78,10,4
"North Yorkshire","2014","oct","2014-10-01","North",0,0,116,20,4,0,15,4,1,2,164,19,11,1,33,10,47,4,90,18,15,3,92,8,4
"Nottinghamshire","2014","oct","2014-10-01","East",2,1,231,76,16,4,49,8,17,4,221,19,10,0,70,11,109,14,87,14,72,20,170,10,29
"South Wales","2014","oct","2014-10-01","West",2,0,389,151,12,8,53,15,7,2,386,32,11,3,118,19,188,12,214,37,92,17,739,111,22
"South Yorkshire","2014","oct","2014-10-01","North",1,1,241,54,10,4,41,7,16,1,342,18,25,1,74,14,126,3,122,17,33,6,154,8,13
"Staffordshire","2014","oct","2014-10-01","West",1,0,192,75,23,5,33,4,6,5,175,20,4,0,50,7,86,8,67,7,39,9,162,34,2
"Suffolk","2014","oct","2014-10-01","East",0,0,128,31,5,0,17,1,1,0,113,12,4,1,33,4,53,3,72,7,15,1,65,8,13
"Surrey","2014","oct","2014-10-01","South",0,0,108,88,14,7,23,5,7,3,113,33,21,9,29,17,83,8,58,19,75,29,145,28,14
"Sussex","2014","oct","2014-10-01","South",1,0,244,73,25,11,42,6,5,2,266,18,26,6,47,13,112,4,116,18,70,21,187,37,25
"Thames Valley","2014","oct","2014-10-01","South",4,0,355,144,40,14,44,12,12,5,301,40,24,7,68,14,141,12,132,26,22,9,245,63,43
"Warwickshire","2014","oct","2014-10-01","West",1,0,76,23,6,2,19,7,3,0,94,3,7,1,15,0,17,0,26,5,20,4,70,27,0
"West Mercia","2014","oct","2014-10-01","West",1,0,171,54,20,6,22,1,6,1,197,17,10,0,37,7,44,1,84,16,46,9,177,27,4
"West Midlands","2014","oct","2014-10-01","West",1,0,477,203,35,15,77,25,55,19,603,64,28,2,125,21,206,17,127,24,185,39,343,75,9
"West Yorkshire","2014","oct","2014-10-01","North",9,2,380,121,44,19,78,15,30,3,387,27,28,9,97,19,173,19,125,26,64,12,270,43,26
"Wiltshire","2014","oct","2014-10-01","West",0,0,85,33,14,7,6,3,5,1,81,5,11,2,26,4,36,1,52,7,26,6,76,11,2
"National","2014","nov","2014-11-01","All",42,19,8888,3037,815,343,1440,280,529,129,9157,897,668,116,2307,399,4116,279,3910,735,2170,462,7794,1277,756
"Avon and Somerset","2014","nov","2014-11-01","West",2,0,244,72,27,13,53,2,11,1,260,15,15,4,72,7,90,9,65,17,72,17,174,42,19
"Bedfordshire","2014","nov","2014-11-01","East",1,0,83,44,3,1,15,2,14,3,81,21,6,1,17,4,40,1,35,6,6,2,72,10,16
"Cambridgeshire","2014","nov","2014-11-01","East",1,0,115,17,8,2,15,0,8,0,120,17,9,0,30,4,38,4,53,5,35,6,94,8,6
"Cheshire","2014","nov","2014-11-01","North",4,1,165,44,16,0,30,3,4,0,187,12,25,1,29,4,63,2,70,9,36,9,127,6,11
"Cleveland","2014","nov","2014-11-01","North",1,0,115,38,12,3,25,4,5,0,257,18,5,0,37,7,56,2,91,23,24,3,75,11,1
"Cumbria","2014","nov","2014-11-01","North",0,0,91,20,12,0,7,0,4,0,101,3,4,1,36,2,31,1,46,6,54,9,81,17,2
"Derbyshire","2014","nov","2014-11-01","East",0,0,153,63,15,4,29,12,9,5,166,23,11,1,41,6,68,5,48,11,39,6,113,16,6
"Devon and Cornwall","2014","nov","2014-11-01","West",1,5,167,56,9,1,23,1,2,0,158,8,8,0,49,8,62,5,55,9,61,11,151,13,15
"Dorset","2014","nov","2014-11-01","West",0,0,102,30,4,4,21,2,5,2,117,8,6,0,27,3,41,1,37,3,20,6,87,5,7
"Durham","2014","nov","2014-11-01","North",0,0,101,28,8,2,14,2,1,0,118,11,9,0,26,5,21,0,25,14,18,11,57,3,3
"Dyfed Powys","2014","nov","2014-11-01","West",1,0,62,31,7,1,12,4,4,0,55,11,6,1,21,3,63,2,28,3,15,2,153,19,4
"Essex","2014","nov","2014-11-01","East",0,1,267,74,37,17,32,4,3,3,250,24,12,5,58,13,102,6,72,12,46,7,206,31,17
"Gloucestershire","2014","nov","2014-11-01","West",0,0,62,11,3,2,9,0,11,3,72,2,6,0,21,6,42,2,10,3,15,2,50,4,7
"GreaterManchester","2014","nov","2014-11-01","North",1,2,622,136,41,27,70,8,50,6,415,29,31,1,153,17,159,15,286,22,102,22,350,53,49
"Gwent","2014","nov","2014-11-01","West",0,0,64,22,7,1,16,3,0,0,102,4,7,1,35,1,48,3,73,2,25,4,103,7,7
"Hampshire","2014","nov","2014-11-01","South",1,0,277,86,24,14,31,10,9,3,259,18,19,3,65,6,104,11,92,22,100,7,222,38,16
"Hertfordshire","2014","nov","2014-11-01","East",0,0,185,67,8,0,26,6,5,2,166,27,10,0,39,8,66,6,74,8,6,3,157,41,16
"Humberside","2014","nov","2014-11-01","North",0,0,184,28,24,9,26,4,3,4,223,13,7,2,60,3,83,7,116,7,12,1,88,20,12
"Kent","2014","nov","2014-11-01","South",1,0,227,104,37,11,52,13,13,1,301,55,30,8,86,26,134,10,65,15,108,33,175,37,43
"Lancashire","2014","nov","2014-11-01","North",1,0,309,110,33,17,80,5,22,2,276,12,18,2,94,18,103,4,171,20,84,24,223,35,15
"Leicestershire","2014","nov","2014-11-01","East",1,0,167,37,13,8,31,1,11,1,104,7,4,3,30,7,37,5,54,12,15,1,108,17,12
"Lincolnshire","2014","nov","2014-11-01","East",0,0,101,29,11,2,13,1,2,0,123,7,7,1,23,2,22,3,46,5,19,6,120,33,9
"Merseyside","2014","nov","2014-11-01","North",0,0,277,77,29,5,29,4,18,5,270,18,20,2,55,7,215,12,111,31,123,14,213,27,28
"Metropolitan and City","2014","nov","2014-11-01","South",13,3,1281,577,94,76,246,79,153,45,1250,144,166,34,319,50,1019,55,696,151,478,100,1246,325,258
"Norfolk","2014","nov","2014-11-01","East",0,0,157,47,18,1,15,0,6,0,164,18,6,0,44,6,48,2,107,11,18,4,118,12,4
"Northamptonshire","2014","nov","2014-11-01","East",0,0,95,27,9,4,15,5,5,3,94,15,7,5,21,5,44,6,35,4,8,3,99,11,10
"Northumbria","2014","nov","2014-11-01","North",1,0,280,104,18,12,52,6,11,0,365,68,30,13,76,36,87,13,168,56,68,20,198,55,10
"North Wales","2014","nov","2014-11-01","North",0,0,117,41,12,6,23,7,6,3,146,5,13,0,37,8,26,0,57,5,20,5,106,24,6
"North Yorkshire","2014","nov","2014-11-01","North",2,0,105,29,3,3,17,0,3,0,128,14,10,0,26,6,31,4,72,17,12,3,140,15,9
"Nottinghamshire","2014","nov","2014-11-01","East",0,1,233,82,13,4,40,2,6,2,188,14,5,4,53,4,118,2,66,10,40,5,150,12,14
"South Wales","2014","nov","2014-11-01","West",0,0,263,112,30,9,47,7,8,1,246,20,13,0,72,12,139,7,167,39,37,8,745,54,16
"South Yorkshire","2014","nov","2014-11-01","North",0,0,240,85,14,1,36,11,19,3,345,25,12,2,75,19,113,4,106,18,20,8,141,10,13
"Staffordshire","2014","nov","2014-11-01","West",1,0,169,58,12,6,25,5,3,2,113,9,10,1,43,7,69,7,64,16,36,8,126,32,3
"Suffolk","2014","nov","2014-11-01","East",0,0,134,39,11,3,12,0,2,0,100,6,6,0,34,3,39,4,66,9,9,2,106,9,8
"Surrey","2014","nov","2014-11-01","South",0,0,78,54,14,6,8,8,1,0,92,23,16,0,16,5,82,4,24,5,36,11,107,21,9
"Sussex","2014","nov","2014-11-01","South",1,0,222,86,14,11,33,11,8,1,192,18,21,1,49,9,94,12,61,11,70,14,201,17,12
"Thames Valley","2014","nov","2014-11-01","South",5,1,300,145,49,20,49,10,17,2,288,38,25,3,67,16,137,23,155,36,30,10,272,55,18
"Warwickshire","2014","nov","2014-11-01","West",0,0,49,18,5,2,16,4,3,0,75,10,3,2,14,3,14,0,15,4,35,3,92,13,2
"West Mercia","2014","nov","2014-11-01","West",0,3,131,32,27,4,20,1,5,1,150,16,7,2,33,6,55,1,51,2,24,2,157,22,0
"West Midlands","2014","nov","2014-11-01","West",1,0,443,157,36,16,49,18,37,19,578,64,23,9,115,14,196,12,131,53,152,38,317,53,17
"West Yorkshire","2014","nov","2014-11-01","North",2,2,381,106,42,12,67,12,18,5,398,21,16,3,85,19,93,7,118,13,28,11,209,38,25
"Wiltshire","2014","nov","2014-11-01","West",0,0,70,14,6,3,11,3,4,1,64,6,4,0,24,4,24,0,28,10,14,1,65,6,1
"National","2014","dec","2014-12-01","All",78,13,8881,2899,818,325,1483,222,506,127,9236,869,631,99,2203,378,3997,275,3638,636,1997,407,7484,1213,752
"Avon and Somerset","2014","dec","2014-12-01","West",2,0,227,65,52,23,25,1,3,1,276,15,13,1,67,14,100,2,81,11,71,6,195,41,30
"Bedfordshire","2014","dec","2014-12-01","East",0,0,79,33,5,1,13,1,6,1,78,8,7,1,16,5,26,3,21,3,6,3,79,6,8
"Cambridgeshire","2014","dec","2014-12-01","East",0,0,98,23,5,1,18,4,4,1,89,8,7,0,25,4,45,2,40,9,7,1,88,12,8
"Cheshire","2014","dec","2014-12-01","North",3,0,142,50,15,4,21,1,6,1,205,16,9,0,36,1,64,2,72,9,40,7,111,8,15
"Cleveland","2014","dec","2014-12-01","North",2,0,104,37,12,3,23,5,9,3,244,35,6,0,45,11,35,9,103,28,26,4,75,11,0
"Cumbria","2014","dec","2014-12-01","North",0,0,102,18,6,0,7,2,3,0,98,4,5,0,26,2,33,3,39,3,58,3,84,10,5
"Derbyshire","2014","dec","2014-12-01","East",0,0,164,41,18,3,13,6,3,2,181,11,7,2,42,6,45,7,66,10,28,5,113,15,17
"Devon and Cornwall","2014","dec","2014-12-01","West",1,0,208,59,6,0,14,4,5,0,160,15,10,0,54,7,68,3,51,7,53,8,161,18,18
"Dorset","2014","dec","2014-12-01","West",1,0,104,27,7,2,7,0,5,0,91,4,9,2,22,3,35,1,20,6,15,5,82,8,3
"Durham","2014","dec","2014-12-01","North",0,0,120,27,10,3,28,5,0,0,116,17,5,0,35,7,22,3,42,13,13,4,64,3,0
"Dyfed Powys","2014","dec","2014-12-01","West",0,0,54,33,3,2,6,3,0,0,50,5,3,0,15,1,60,2,29,8,1,0,90,12,1
"Essex","2014","dec","2014-12-01","East",1,1,314,82,37,11,39,6,11,1,236,16,21,5,52,14,89,11,66,15,33,6,209,28,14
"Gloucestershire","2014","dec","2014-12-01","West",0,0,68,20,3,2,21,3,1,0,92,8,3,0,13,1,26,1,22,4,11,4,57,2,2
"GreaterManchester","2014","dec","2014-12-01","North",2,1,574,134,43,26,82,10,26,3,389,22,33,5,139,10,153,8,252,22,90,12,335,58,38
"Gwent","2014","dec","2014-12-01","West",0,0,89,18,3,1,17,2,3,0,90,3,3,0,26,3,40,0,41,6,6,2,138,15,4
"Hampshire","2014","dec","2014-12-01","South",3,0,295,105,28,12,28,5,15,5,256,16,20,2,72,10,93,5,95,12,52,6,236,27,23
"Hertfordshire","2014","dec","2014-12-01","East",1,0,185,62,6,0,30,4,2,3,174,13,17,1,47,4,94,7,76,13,20,5,158,27,12
"Humberside","2014","dec","2014-12-01","North",2,0,169,35,30,16,40,5,8,2,242,27,13,1,23,8,70,5,85,16,30,2,120,23,7
"Kent","2014","dec","2014-12-01","South",10,0,227,64,26,11,34,6,10,7,292,42,30,1,51,11,99,2,54,17,107,23,209,28,38
"Lancashire","2014","dec","2014-12-01","North",3,0,269,81,35,13,64,3,8,3,327,13,19,3,80,25,122,5,163,13,101,15,262,36,22
"Leicestershire","2014","dec","2014-12-01","East",3,0,133,34,17,1,10,1,15,1,126,12,15,1,34,6,35,5,65,3,11,2,91,12,9
"Lincolnshire","2014","dec","2014-12-01","East",0,0,85,17,6,0,14,4,2,1,121,14,6,0,17,2,21,0,48,5,21,7,76,16,10
"Merseyside","2014","dec","2014-12-01","North",0,0,278,83,25,6,26,6,9,1,266,28,14,1,61,12,218,12,113,17,114,16,172,17,19
"Metropolitan and City","2014","dec","2014-12-01","South",23,9,1325,582,105,65,201,51,128,44,1192,140,171,36,325,61,978,73,541,128,477,101,1245,309,221
"Norfolk","2014","dec","2014-12-01","East",0,0,149,33,8,1,22,3,4,1,134,17,6,1,44,9,52,3,108,13,15,2,99,21,7
"Northamptonshire","2014","dec","2014-12-01","East",2,0,84,42,6,3,8,0,8,0,116,18,5,2,21,6,30,4,44,12,17,2,102,12,17
"Northumbria","2014","dec","2014-12-01","North",3,0,260,102,18,14,56,9,8,2,371,55,13,2,77,24,85,15,138,37,64,16,132,41,14
"North Wales","2014","dec","2014-12-01","North",0,0,132,30,12,9,7,0,1,0,151,5,3,0,46,5,27,1,67,8,8,1,95,12,3
"North Yorkshire","2014","dec","2014-12-01","North",0,0,97,37,8,0,26,6,4,1,126,25,14,3,25,4,35,2,71,16,22,4,118,16,9
"Nottinghamshire","2014","dec","2014-12-01","East",1,2,164,61,10,5,54,7,17,1,232,11,7,1,45,7,97,7,61,9,49,10,129,10,23
"South Wales","2014","dec","2014-12-01","West",0,0,287,106,22,13,53,3,15,3,292,16,15,4,84,9,137,4,161,23,28,1,573,83,17
"South Yorkshire","2014","dec","2014-12-01","North",2,0,258,64,8,2,56,4,16,3,277,22,16,0,66,6,96,8,87,11,37,5,144,10,14
"Staffordshire","2014","dec","2014-12-01","West",2,0,142,62,9,6,33,8,14,2,177,17,7,0,27,7,57,6,62,10,32,4,117,24,3
"Suffolk","2014","dec","2014-12-01","East",1,0,142,22,9,2,17,0,1,0,111,9,7,1,34,2,53,5,66,5,12,4,94,7,8
"Surrey","2014","dec","2014-12-01","South",0,0,98,27,6,3,13,1,5,0,98,12,4,1,19,1,59,6,28,7,38,8,130,17,14
"Sussex","2014","dec","2014-12-01","South",0,0,201,73,22,6,42,7,15,3,216,23,15,2,47,9,122,4,85,24,50,16,208,23,23
"Thames Valley","2014","dec","2014-12-01","South",1,0,297,123,45,20,46,7,17,1,304,36,24,7,62,12,179,15,98,18,23,11,220,34,39
"Warwickshire","2014","dec","2014-12-01","West",0,0,44,7,3,1,29,1,0,0,67,4,5,0,11,2,13,1,14,1,14,6,87,31,1
"West Mercia","2014","dec","2014-12-01","West",2,0,158,38,21,6,26,1,7,1,169,12,3,2,38,8,46,0,78,1,25,4,151,22,1
"West Midlands","2014","dec","2014-12-01","West",3,0,462,160,38,14,86,14,62,12,515,43,17,3,109,14,187,13,114,35,119,46,311,45,19
"West Yorkshire","2014","dec","2014-12-01","North",4,0,420,164,61,14,122,11,30,13,376,44,17,8,96,22,130,9,127,25,43,16,244,54,14
"Wiltshire","2014","dec","2014-12-01","West",0,0,73,18,9,0,6,2,0,4,113,8,7,0,29,3,21,1,44,3,10,4,80,9,2
"National","2015","jan","2015-01-01","All",49,14,9627,3235,859,317,1405,283,495,145,9751,938,761,136,2489,446,4370,293,4211,739,1934,471,8408,1439,904
"Avon and Somerset","2015","jan","2015-01-01","West",0,0,262,68,29,13,26,5,12,0,290,25,25,4,89,8,105,8,124,26,90,18,242,59,45
"Bedfordshire","2015","jan","2015-01-01","East",1,0,105,36,11,2,9,3,2,0,110,22,5,0,20,8,33,3,28,4,12,2,84,18,14
"Cambridgeshire","2015","jan","2015-01-01","East",0,0,94,12,6,0,2,2,1,5,88,7,5,0,21,7,48,2,32,4,6,4,64,5,10
"Cheshire","2015","jan","2015-01-01","North",1,0,195,41,19,2,27,1,8,1,179,19,18,7,40,3,80,4,74,11,46,9,140,17,11
"Cleveland","2015","jan","2015-01-01","North",1,0,130,34,6,3,29,9,6,1,283,27,7,2,38,13,79,2,96,39,11,7,69,11,5
"Cumbria","2015","jan","2015-01-01","North",0,1,97,15,9,1,7,0,0,1,101,9,11,0,32,4,37,0,35,9,58,9,102,18,7
"Derbyshire","2015","jan","2015-01-01","East",1,0,153,51,12,6,20,5,7,5,157,10,6,0,47,9,69,6,63,9,27,9,120,10,20
"Devon and Cornwall","2015","jan","2015-01-01","West",1,0,165,57,14,2,25,3,8,0,151,22,6,0,52,7,67,2,78,18,75,12,222,22,15
"Dorset","2015","jan","2015-01-01","West",0,0,96,40,7,2,10,5,8,1,124,4,6,0,23,5,32,1,43,4,13,0,81,12,8
"Durham","2015","jan","2015-01-01","North",1,0,118,34,7,4,22,5,3,1,138,22,12,0,55,3,28,2,55,10,8,2,100,9,5
"Dyfed Powys","2015","jan","2015-01-01","West",1,0,77,18,5,3,9,1,0,0,70,7,6,2,28,7,103,3,56,6,4,0,75,11,4
"Essex","2015","jan","2015-01-01","East",2,0,326,83,32,17,44,6,7,6,279,16,23,2,55,13,89,5,97,7,38,8,231,39,31
"Gloucestershire","2015","jan","2015-01-01","West",1,0,61,16,4,2,12,1,0,0,103,9,8,1,23,1,38,1,30,2,20,6,58,5,8
"GreaterManchester","2015","jan","2015-01-01","North",4,0,660,176,56,22,83,11,17,2,446,34,59,10,148,16,165,8,290,38,66,22,420,65,37
"Gwent","2015","jan","2015-01-01","West",3,0,114,29,7,2,17,5,3,2,116,7,8,0,44,5,58,4,62,7,2,2,86,12,9
"Hampshire","2015","jan","2015-01-01","South",0,0,348,94,38,10,29,4,10,0,318,37,29,5,71,8,126,11,126,22,21,5,262,44,35
"Hertfordshire","2015","jan","2015-01-01","East",0,0,186,59,9,1,19,9,11,5,159,16,23,5,43,7,81,8,62,9,11,5,167,26,15
"Humberside","2015","jan","2015-01-01","North",1,3,193,37,42,10,22,6,5,1,222,13,16,2,50,12,67,2,99,12,22,2,133,19,9
"Kent","2015","jan","2015-01-01","South",2,0,231,98,25,8,37,5,10,2,257,39,13,5,71,22,105,7,82,20,69,23,192,38,49
"Lancashire","2015","jan","2015-01-01","North",0,0,283,78,29,5,73,17,33,5,243,18,22,4,95,16,106,3,156,20,89,12,270,33,16
"Leicestershire","2015","jan","2015-01-01","East",1,0,160,47,20,4,21,6,11,2,195,15,14,4,35,5,39,4,56,7,25,4,122,19,3
"Lincolnshire","2015","jan","2015-01-01","East",1,0,98,23,6,1,20,2,5,0,145,12,3,1,28,2,29,2,64,5,8,5,133,15,7
"Merseyside","2015","jan","2015-01-01","North",3,0,284,94,26,5,46,1,22,5,276,20,13,2,66,18,265,13,126,12,97,20,200,17,23
"Metropolitan and City","2015","jan","2015-01-01","South",9,9,1382,662,130,63,228,61,134,60,1210,143,203,51,309,59,1040,76,568,121,478,120,1238,339,211
"Norfolk","2015","jan","2015-01-01","East",0,0,205,55,11,2,12,1,3,0,149,21,11,3,57,10,71,0,92,12,13,10,115,18,11
"Northamptonshire","2015","jan","2015-01-01","East",0,0,90,50,13,3,10,4,5,4,117,11,4,1,14,10,47,4,41,7,10,3,88,15,10
"Northumbria","2015","jan","2015-01-01","North",2,0,255,123,17,11,34,4,4,1,439,62,20,2,100,29,94,17,195,42,61,29,186,75,24
"North Wales","2015","jan","2015-01-01","North",0,0,137,40,14,7,17,1,3,0,133,6,6,0,50,3,26,1,94,4,13,2,110,9,2
"North Yorkshire","2015","jan","2015-01-01","North",1,0,110,25,7,0,8,5,2,0,129,14,8,0,32,5,33,2,78,11,18,7,110,11,8
"Nottinghamshire","2015","jan","2015-01-01","East",0,0,237,60,14,3,29,7,4,8,235,18,12,1,60,8,98,5,64,14,38,8,151,19,19
"South Wales","2015","jan","2015-01-01","West",0,0,326,119,18,8,60,5,8,0,305,19,16,2,100,16,198,8,217,43,13,3,771,60,26
"South Yorkshire","2015","jan","2015-01-01","North",2,0,204,84,7,3,32,9,12,1,346,10,9,0,66,6,103,8,115,7,49,6,166,20,23
"Staffordshire","2015","jan","2015-01-01","West",0,0,181,70,16,7,30,8,6,3,198,21,12,1,45,6,71,12,71,25,37,3,146,33,3
"Suffolk","2015","jan","2015-01-01","East",1,0,158,23,9,5,11,2,4,0,98,5,6,0,33,6,43,2,57,7,14,1,96,16,4
"Surrey","2015","jan","2015-01-01","South",0,0,117,46,6,8,24,3,3,0,99,18,6,3,25,7,52,1,44,5,41,20,160,19,11
"Sussex","2015","jan","2015-01-01","South",0,0,206,74,22,11,21,5,6,0,243,17,19,1,56,9,111,9,65,20,60,23,231,24,48
"Thames Valley","2015","jan","2015-01-01","South",0,0,334,145,32,21,29,11,17,5,319,34,28,1,62,11,145,12,138,30,20,9,296,51,30
"Warwickshire","2015","jan","2015-01-01","West",0,0,59,14,3,0,10,4,5,2,64,9,1,0,28,2,14,1,24,4,26,5,81,22,3
"West Mercia","2015","jan","2015-01-01","West",1,0,172,60,27,7,17,1,7,0,167,14,4,1,31,6,62,2,82,13,34,3,164,22,1
"West Midlands","2015","jan","2015-01-01","West",1,1,500,194,35,13,95,30,49,14,567,57,27,5,117,22,187,23,159,26,128,22,349,67,53
"West Yorkshire","2015","jan","2015-01-01","North",7,0,417,135,55,19,123,10,32,2,395,41,27,7,109,29,106,8,140,36,58,11,314,87,25
"Wiltshire","2015","jan","2015-01-01","West",0,0,101,16,4,1,6,0,2,0,88,8,4,1,21,3,20,1,33,11,5,0,63,8,6
"National","2015","feb","2015-02-01","All",51,8,9394,3074,816,356,1494,296,494,125,9788,841,778,127,2321,426,4352,256,3927,696,1820,418,7844,1396,735
"Avon and Somerset","2015","feb","2015-02-01","West",0,0,264,64,36,15,39,7,21,1,273,12,9,6,64,14,97,9,75,14,61,16,223,69,54
"Bedfordshire","2015","feb","2015-02-01","East",0,0,84,28,4,0,9,1,8,1,70,7,5,0,20,2,38,2,25,4,17,0,63,9,22
"Cambridgeshire","2015","feb","2015-02-01","East",1,0,125,32,14,1,15,0,8,4,108,9,5,0,20,6,56,0,46,5,3,6,84,12,33
"Cheshire","2015","feb","2015-02-01","North",1,0,197,22,11,2,31,2,6,0,203,15,10,1,35,6,86,7,95,9,39,2,164,16,14
"Cleveland","2015","feb","2015-02-01","North",0,0,126,38,10,6,35,4,7,1,273,22,8,0,53,7,64,3,79,21,13,2,63,3,5
"Cumbria","2015","feb","2015-02-01","North",0,0,109,15,2,2,10,0,2,4,105,5,4,4,27,2,39,0,71,5,31,6,93,10,1
"Derbyshire","2015","feb","2015-02-01","East",1,0,163,54,12,4,19,5,12,0,218,19,13,1,52,8,82,5,63,11,43,12,133,18,18
"Devon and Cornwall","2015","feb","2015-02-01","West",0,1,150,65,13,1,15,2,1,0,144,10,6,1,50,14,59,5,43,5,52,13,174,27,26
"Dorset","2015","feb","2015-02-01","West",0,0,85,31,6,5,6,4,2,1,93,10,3,0,27,4,29,0,34,9,5,1,82,8,10
"Durham","2015","feb","2015-02-01","North",0,0,106,38,7,7,16,8,5,0,139,20,6,1,47,12,21,4,52,7,6,5,73,6,1
"Dyfed Powys","2015","feb","2015-02-01","West",0,0,62,32,4,1,2,1,0,0,47,3,3,0,30,4,78,3,26,7,1,1,61,15,2
"Essex","2015","feb","2015-02-01","East",1,0,346,79,27,21,42,4,8,3,246,22,19,2,53,12,89,2,52,12,45,2,190,24,12
"Gloucestershire","2015","feb","2015-02-01","West",2,0,56,21,6,2,14,3,9,0,100,9,16,7,10,2,35,2,14,8,23,6,72,8,20
"GreaterManchester","2015","feb","2015-02-01","North",3,0,624,146,45,25,99,14,38,4,500,24,39,6,143,20,201,15,250,34,45,14,400,67,26
"Gwent","2015","feb","2015-02-01","West",1,1,83,22,8,1,23,2,8,2,151,8,4,1,40,8,68,4,68,12,9,3,70,12,4
"Hampshire","2015","feb","2015-02-01","South",1,0,312,109,44,18,41,8,5,2,295,27,13,3,59,12,121,9,112,20,17,12,208,33,18
"Hertfordshire","2015","feb","2015-02-01","East",0,0,161,59,4,2,21,6,5,1,156,17,9,1,29,4,68,6,47,9,15,1,123,22,13
"Humberside","2015","feb","2015-02-01","North",0,1,157,47,30,7,29,4,7,0,201,18,15,3,47,6,63,4,69,10,26,6,110,22,10
"Kent","2015","feb","2015-02-01","South",1,0,199,71,21,12,39,11,11,3,274,37,25,6,67,15,83,5,87,19,68,14,190,24,23
"Lancashire","2015","feb","2015-02-01","North",1,1,265,77,31,11,64,11,23,4,277,17,15,3,81,17,98,7,175,14,116,14,264,46,12
"Leicestershire","2015","feb","2015-02-01","East",0,0,173,45,15,1,22,3,4,2,164,7,12,2,41,7,39,0,68,7,17,2,116,15,23
"Lincolnshire","2015","feb","2015-02-01","East",3,0,97,24,10,3,11,5,3,1,103,10,12,1,23,3,27,0,50,9,19,6,124,30,14
"Merseyside","2015","feb","2015-02-01","North",2,0,285,89,32,17,39,5,15,4,292,17,31,1,76,6,264,19,153,24,81,16,191,19,19
"Metropolitan and City","2015","feb","2015-02-01","South",14,1,1327,621,109,71,278,65,140,37,1220,135,225,33,314,57,1025,58,588,124,483,114,1231,341,148
"Norfolk","2015","feb","2015-02-01","East",0,0,149,60,13,2,15,6,1,2,143,10,14,2,46,11,74,3,90,8,18,3,89,19,14
"Northamptonshire","2015","feb","2015-02-01","East",0,0,105,27,10,3,13,8,0,0,99,10,6,2,27,7,39,1,30,9,15,4,121,13,11
"Northumbria","2015","feb","2015-02-01","North",1,0,282,92,13,5,64,13,13,5,422,48,23,3,77,25,76,10,197,72,59,11,219,51,6
"North Wales","2015","feb","2015-02-01","North",1,0,161,37,16,7,22,3,3,1,139,7,7,0,45,10,59,5,65,3,12,3,78,11,2
"North Yorkshire","2015","feb","2015-02-01","North",1,0,102,31,9,0,22,1,3,0,144,6,7,1,34,4,35,1,64,7,28,8,112,14,12
"Nottinghamshire","2015","feb","2015-02-01","East",1,0,233,75,18,3,23,14,9,4,273,31,17,3,63,19,123,3,78,11,51,10,172,25,16
"South Wales","2015","feb","2015-02-01","West",1,0,339,118,26,13,44,7,12,1,300,19,17,1,69,12,169,7,167,26,14,1,643,77,13
"South Yorkshire","2015","feb","2015-02-01","North",5,0,227,66,9,0,49,2,10,6,283,30,11,1,64,12,87,6,99,17,24,8,141,18,15
"Staffordshire","2015","feb","2015-02-01","West",0,0,157,54,10,5,31,5,7,2,196,21,14,1,40,13,66,3,75,11,21,5,186,48,9
"Suffolk","2015","feb","2015-02-01","East",0,1,110,28,6,1,9,3,2,3,135,6,8,0,42,2,66,0,66,7,9,1,87,22,4
"Surrey","2015","feb","2015-02-01","South",0,0,111,53,10,5,16,0,1,0,83,13,11,1,20,6,67,4,41,16,32,10,132,22,12
"Sussex","2015","feb","2015-02-01","South",0,0,261,84,25,14,34,8,2,0,241,21,23,4,60,9,97,11,89,22,40,14,225,25,15
"Thames Valley","2015","feb","2015-02-01","South",3,0,300,141,35,16,40,10,11,6,330,27,32,3,62,10,133,6,121,18,34,14,235,39,21
"Warwickshire","2015","feb","2015-02-01","West",2,0,60,16,10,1,7,0,5,3,65,2,4,0,12,1,12,1,25,3,14,3,85,23,8
"West Mercia","2015","feb","2015-02-01","West",0,0,206,57,13,12,23,5,1,3,164,9,17,3,27,2,61,1,67,10,25,4,139,18,6
